?primaryID	?secondaryID
Q21106402	Q7670082
Q21106493	Q4059410
Q21107260	Q17174381
Q7667890	Q21111792
Q7671461	Q21107794
Q7684469	Q21106680
Q7686858	Q21124325
Q7865201	Q21122914
Q7900869	Q21139408
Q7922674	Q21105699
Q7941454	Q21111464
Q8072290	Q21113602
Q12752331	Q21113430
Q18043095	Q7907068
Q18043095	Q11224228
Q21096399	Q7572125
Q14913250	Q21113275
Q21104825	Q21107946
Q21103399	Q21143071
Q21103420	Q21149418
Q21118320	Q168294
Q21119955	Q47450720
Q21139972	Q21423339
Q21140051	Q21433446
Q21146160	Q21978864
Q21151033	Q21443833
Q4652604	Q21111344
Q4807720	Q21109474
Q4897318	Q21112861
Q5007390	Q21108393
Q5008266	Q21108311
Q5008826	Q21112944
Q5009796	Q21114010
Q5009824	Q21109691
Q5009846	Q21100600
Q5011104	Q21114956
Q5011707	Q21110512
Q5013459	Q21111977
Q5014192	Q28208893
Q5014587	Q21116880
Q5014882	Q21112073
Q5014947	Q21110758
Q5019078	Q14906727
Q5055040	Q21110573
Q5104531	Q21102368
Q21108566	Q18378646
Q21173381	Q21144528
Q5198270	Q21100446
Q5204455	Q21105102
Q5205770	Q21431298
Q5323823	Q21106390
Q5394965	Q21110307
Q5408693	Q21112344
Q5425457	Q21106100
Q5458076	Q21101455
Q5507033	Q21107510
Q5513074	Q21118199
Q5630986	Q21111376
Q5657577	Q21103438
Q5657580	Q21103447
Q5804960	Q21130087
Q6393585	Q21118506
Q6393588	Q21113483
Q6717778	Q21105827
Q6719107	Q21124811
Q6901317	Q21109460
Q6951383	Q21110437
Q6981561	Q21126327
Q7002385	Q21118852
Q7050954	Q21121364
Q7062526	Q21124902
Q7120326	Q21108164
Q7240673	Q39798
Q7240673	Q12957582
Q7240673	Q14761980
Q7240673	Q21143151
Q7240673	Q21170141
Q7240673	Q50265662
Q7240673	Q55185285
Q7240673	Q60495072
Q7273289	Q21102147
Q7310692	Q21125129
Q7317662	Q21111392
Q7392809	Q21137689
Q21101832	Q21151882
Q63398	Q21121611
Q171604	Q2807187
Q171604	Q21112208
Q205042	Q21150873
Q205042	Q25381217
Q223739	Q14851958
Q267200	Q539836
Q267200	Q12472130
Q267200	Q21422696
Q267200	Q66134617
Q288382	Q21119133
Q305481	Q18026453
Q305481	Q21097127
Q308856	Q21110870
Q356062	Q21418917
Q408305	Q21110733
Q408712	Q21106291
Q409450	Q21097211
Q409450	Q21142063
Q410485	Q21115114
Q412483	Q21111999
Q413766	Q21143305
Q413988	Q59992226
Q415364	Q21124279
Q416481	Q21115030
Q419337	Q21112230
Q419337	Q85971025
Q419613	Q107231485
Q419983	Q5628933
Q419999	Q10384282
Q419999	Q85968405
Q420038	Q5572358
Q420267	Q21115374
Q421491	Q21110305
Q423510	Q21116133
Q425149	Q21115312
Q648315	Q21112669
Q798033	Q21113031
Q903924	Q21428952
Q907394	Q109044311
Q1198053	Q21115220
Q1500003	Q21110388
Q1620739	Q21116446
Q1634046	Q21104778
Q2034004	Q21116161
Q2045854	Q21106467
Q2067372	Q21121628
Q2100344	Q15997020
Q2100344	Q24783166
Q2248886	Q24720328
Q2248886	Q66563523
Q2630678	Q21114004
Q2640417	Q21113869
Q2805224	Q14914440
Q2807192	Q21112209
Q3067052	Q21106377
Q3162114	Q21116054
Q3357478	Q16777440
Q3357478	Q21151403
Q3486853	Q21108031
Q3648609	Q21114019
Q3714578	Q21111780
Q3780451	Q21118490
Q3931282	Q21426387
Q4035579	Q21118484
Q4042017	Q21120514
Q4046253	Q21130825
Q4210020	Q21110735
Q4236472	Q21149679
Q4253573	Q21109185
Q4262879	Q21120743
Q4377404	Q21116178
Q21119955	Q47450720
Q21139809	Q21431178
Q21139972	Q21423339
Q21140051	Q21433446
Q21978995	Q61742410
Q27205	Q26998033
Q27205	Q60644171
Q27205	Q65284978
Q413988	Q59992226
Q2248886	Q24720328
Q2248886	Q66563523
Q21118989	Q21149475
Q21119386	Q6954448
Q21119386	Q97189846
Q21146160	Q21978864
Q21123249	Q7117957
Q21120577	Q25377274
Q21110156	Q56297444
Q21149776	Q21418962
Q21112873	Q21137183
Q21150540	Q21422932
Q21151033	Q21443833
Q21113461	Q30590048
Q21113921	Q5009613
Q21114131	Q21141338
Q21123847	Q7275769
Q21116246	Q74547753
Q21124666	Q15997228
Q21125277	Q21149440
Q21117869	Q21433491
Q21118320	Q168294
Q21131467	Q6951497
Q21132760	Q3631697
Q21116645	Q21149262
Q21116691	Q3071333
Q21116862	Q289383
Q21117052	Q21140160
Q21117569	Q21435710
Q21134841	Q65077631
Q21171466	Q21985938
Q21173381	Q21144528
Q21978995	Q61742410
Q22676983	Q39096900
Q60315441	Q422281
Q60315441	Q14862709
Q21137455	Q22676734
Q21139524	Q21432890
Q21140783	Q21428375
Q21142483	Q21433548
Q21151146	Q21431329
Q15312073	Q16252582
Q21117731	Q21201121
Q285613	Q12495913
Q285613	Q21115057
Q288591	Q9602575
Q288591	Q21104785
Q386664	Q5854424
Q386664	Q12840734
Q386664	Q21110765
Q386664	Q27094281
Q408499	Q21436527
Q408499	Q25401136
Q409114	Q21117556
Q409532	Q2756097
Q409532	Q6125081
Q412587	Q14865405
Q412587	Q21109684
Q413243	Q21117354
Q415624	Q21123269
Q415718	Q21113162
Q417782	Q21118844
Q419611	Q21116848
Q420012	Q14864836
Q420012	Q21604257
Q420678	Q21109143
Q423561	Q21117847
Q423660	Q14865496
Q423660	Q21100971
Q423698	Q12390704
Q423701	Q3064154
Q423701	Q5854414
Q423701	Q25616074
Q424716	Q2584349
Q424716	Q21116090
Q587961	Q21109183
Q21116744	Q96371246
Q21116906	Q7002152
Q21117459	Q21139672
Q21113163	Q5014891
Q21113597	Q21141808
Q21114000	Q5009620
Q21114206	Q21146126
Q21114547	Q67791424
Q21114769	Q6457647
Q21114915	Q273144
Q21114915	Q12988593
Q21114959	Q5630191
Q21114959	Q21114957
Q21114959	Q21245857
Q21115319	Q4654807
Q21122300	Q6710274
Q21119777	Q5635984
Q21125189	Q29474717
Q909409	Q21111119
Q1190762	Q21114015
Q1500000	Q21114278
Q1500005	Q21109810
Q1665322	Q5973584
Q1947065	Q21116934
Q2041084	Q21111938
Q2587862	Q21429203
Q2663095	Q10357996
Q2663095	Q21423044
Q2850113	Q21122863
Q2872459	Q4826349
Q3271142	Q21110738
Q3648585	Q5009616
Q3648605	Q5009783
Q4032890	Q21113737
Q4036897	Q21096455
Q4037945	Q21110438
Q4044834	Q21108484
Q4044941	Q21116152
Q4046167	Q21108483
Q4046258	Q16539602
Q4046258	Q21117334
Q4050614	Q14914327
Q4216825	Q21113032
Q4219506	Q21113499
Q4420082	Q21127162
Q4634197	Q21105035
Q4650908	Q21115387
Q4681402	Q21113616
Q4835575	Q21100277
Q4875407	Q21100283
Q4941566	Q5611741
Q5009348	Q21140461
Q5009816	Q21114009
Q5014877	Q21112076
Q5014895	Q21113102
Q5014953	Q21110739
Q5023949	Q21111859
Q5052480	Q21105611
Q5123372	Q12746054
Q5204362	Q21118073
Q5205795	Q21101118
Q5322375	Q21111378
Q5323837	Q21106314
Q21117731	Q21201121
Q21130855	Q4651785
Q21132190	Q5427395
Q21133111	Q29475737
Q21133978	Q55636121
Q21125584	Q7866799
Q21126199	Q7277575
Q21124446	Q18356744
Q21124647	Q4637076
Q21124742	Q21149124
Q21120778	Q3242152
Q21120998	Q30017814
Q21137455	Q22676734
Q21138907	Q21426389
Q21139524	Q21432890
Q21140783	Q21428375
Q21141343	Q4649905
Q21141343	Q21104952
Q21141708	Q5969318
Q21141708	Q21433518
Q21142483	Q21433548
Q5425477	Q21433494
Q5426962	Q21101516
Q5426962	Q21138566
Q5427209	Q21118166
Q5513081	Q21106156
Q5514565	Q21115377
Q5635988	Q21141786
Q5693330	Q21125175
Q5804963	Q21102577
Q5918988	Q6047044
Q5918988	Q21111063
Q5974836	Q21112345
Q6055405	Q21125854
Q6055408	Q21124919
Q6095654	Q21172587
Q6327043	Q21119862
Q6393584	Q21113482
Q6393591	Q21115081
Q6393599	Q21112619
Q6714406	Q113192060
Q6714519	Q21107986
Q6917575	Q21116361
Q6917578	Q21110387
Q6917579	Q21111366
Q7002766	Q21106580
Q7092131	Q21121783
Q7119501	Q21110104
Q7162516	Q5124835
Q7187891	Q21114058
Q7259542	Q21122593
Q7259543	Q21113116
Q7275807	Q21101588
Q7276719	Q21101936
Q7276719	Q21143549
Q7316802	Q21124369
Q7390782	Q21124429
Q7390803	Q21109033
Q7390849	Q21100932
Q7660502	Q21115607
Q7671464	Q21121698
Q7671468	Q21125492
Q7671479	Q21140261
Q7671489	Q21123483
Q7671495	Q21141549
Q7671499	Q21123485
Q7699503	Q21100325
Q9020944	Q21113792
Q9020944	Q21138631
Q11071075	Q21136228
Q11938629	Q21124840
Q12746346	Q21149319
Q13561329	Q13569356
Q21151146	Q21431329
Q14907288	Q21130559
Q16866853	Q21149876
Q21101297	Q5424425
Q21100286	Q21428209
Q21143401	Q21418964
Q21145188	Q21170546
Q21147426	Q21438163
Q21172800	Q5514310
Q21105191	Q4652994
Q21102119	Q21116807
Q21103345	Q1562833
Q21103429	Q5972365
Q21105900	Q65067627
Q21204276	Q6330440
Q22677369	Q5012447
Q23301892	Q7072841
Q4032933	Q18016425
Q4032933	Q20727401
Q21134444	Q21140070
Q21136142	Q65070413
Q21140676	Q21431324
Q21149606	Q21438541
Q21151736	Q21422920
Q21172202	Q5009609
Q21174723	Q7275716
Q410974	Q66599000
Q21127112	Q50693458
Q21135625	Q7540969
Q21139165	Q21433530
Q21139981	Q21422644
Q21140267	Q21441771
Q21141761	Q21433473
Q21149193	Q21418982
Q21115039	Q77919152
Q21118065	Q21151630
Q21118607	Q29474328
Q21118822	Q6720390
Q8965126	Q21117209
Q14904318	Q21120480
Q21119460	Q13033731
Q21119654	Q28502144
Q21116525	Q21136973
Q21117357	Q21117378
Q21117620	Q21434412
Q21117724	Q21436454
Q21117780	Q21439297
Q21117863	Q21440212
Q21117945	Q21444091
Q22676900	Q4208117
Q22683580	Q22675369
Q21124841	Q111051453
Q15319708	Q21105282
Q15330067	Q21124290
Q20180797	Q21135112
Q21096438	Q5323090
Q21121716	Q67790826
Q21121755	Q11788398
Q21101424	Q29533373
Q21102276	Q5008170
Q21102621	Q109314595
Q21103140	Q5513670
Q21104958	Q6951422
Q21133717	Q24725165
Q21134444	Q21140070
Q21134524	Q97359321
Q21112082	Q5014884
Q21112670	Q67216826
Q21113486	Q29474538
Q21111943	Q5122819
Q21112077	Q5014878
Q21139471	Q21431348
Q21135986	Q7434135
Q21136142	Q65070413
Q21108560	Q1761596
Q21108798	Q21143587
Q21113933	Q5009617
Q21113988	Q5009622
Q21114021	Q7670382
Q21114500	Q19904161
Q21114649	Q7394655
Q21140676	Q21431324
Q21149606	Q21438541
Q21137320	Q21433493
Q21144907	Q21424991
Q21172202	Q5009609
Q21151736	Q21422920
Q92594	Q21121778
Q301630	Q21104939
Q302495	Q21097199
Q311568	Q21119132
Q408186	Q11739424
Q409646	Q21124610
Q410434	Q7281995
Q410434	Q21109188
Q410784	Q21096426
Q413209	Q21123484
Q416356	Q6055532
Q416356	Q21109600
Q417867	Q21110301
Q419553	Q21113030
Q420522	Q21123612
Q422025	Q4723824
Q21979550	Q65070695
Q423572	Q21111128
Q423628	Q21139213
Q423628	Q21431295
Q424422	Q21111014
Q424724	Q16634060
Q424724	Q65255169
Q426168	Q21112330
Q426648	Q18026876
Q426648	Q21109535
Q511968	Q14911730
Q511968	Q17388674
Q571999	Q21100265
Q683602	Q21117524
Q700004	Q21133349
Q700006	Q21123763
Q858317	Q21117224
Q903909	Q21118884
Q904925	Q21115564
Q905435	Q21117447
Q906517	Q21116533
Q994646	Q21100559
Q1149122	Q3650237
Q1149122	Q21110729
Q1154611	Q21111496
Q1486720	Q21115964
Q1500004	Q21120956
Q1500343	Q21107869
Q1532471	Q15812459
Q1532471	Q85966833
Q1649375	Q21110534
Q1886099	Q21121147
Q1949517	Q21115048
Q1982330	Q21120795
Q2071346	Q21121863
Q2071346	Q109041184
Q2113389	Q21122525
Q2113501	Q12646457
Q2521094	Q21122923
Q2584108	Q5918991
Q2720322	Q21123333
Q2744706	Q21109577
Q2744706	Q21139835
Q3031346	Q21110889
Q3098700	Q10288651
Q3740187	Q21110087
Q3822573	Q21121140
Q4036848	Q21115494
Q4201964	Q21096378
Q4216687	Q21139671
Q4217286	Q21421125
Q4219505	Q21118507
Q4639596	Q21108124
Q4650048	Q21115238
Q4650061	Q21111141
Q4827012	Q21110159
Q4941572	Q21421122
Q4953612	Q21115546
Q5009629	Q21111906
Q5009798	Q21114014
Q5009828	Q21109690
Q5009851	Q21123937
Q5009962	Q21429894
Q5014088	Q21100987
Q5014962	Q21110740
Q5049059	Q21100390
Q5205796	Q21101109
Q5205796	Q21139870
Q5382895	Q22676832
Q5383173	Q21425347
Q5426019	Q21142866
Q5512896	Q21115158
Q5513075	Q21106141
Q5513077	Q21106159
Q5513621	Q21110368
Q5514257	Q21106215
Q5572423	Q21110039
Q5596823	Q21100983
Q5596842	Q22680207
Q5611755	Q21110361
Q5629645	Q21097291
Q5630036	Q21109190
Q5864335	Q21123234
Q6155969	Q21118488
Q6332991	Q21108809
Q6393618	Q21118513
Q6449561	Q21108783
Q6725886	Q21115481
Q6951477	Q7923215
Q6955017	Q21118882
Q7117823	Q21112339
Q7119220	Q21121908
Q7119385	Q21104760
Q7263802	Q21108965
Q7277628	Q21123858
Q7390878	Q21124496
Q7646060	Q21121396
Q7669570	Q21127334
Q7669918	Q21100280
Q7671473	Q21125490
Q7673856	Q21123084
Q7836550	Q21102038
Q7844742	Q21119595
Q7876540	Q21105698
Q22675842	Q5515170
Q22676679	Q85952177
Q65963433	Q65276342
Q21137408	Q21437234
Q21140224	Q21433667
Q21146254	Q21433640
Q21151350	Q21421100
Q21172190	Q4812918
Q4826895	Q18045669
Q21101441	Q21101443
Q22677523	Q5513093
Q22679857	Q15996901
Q21112191	Q5375232
Q21113501	Q2403754
Q21117048	Q21149530
Q21117344	Q96374182
Q21117715	Q21433508
Q21117768	Q21433489
Q21117776	Q21421123
Q21117797	Q21433524
Q21121077	Q3359601
Q21121192	Q7121204
Q74314	Q15633857
Q74314	Q15633863
Q74314	Q15633869
Q74314	Q15633882
Q21113943	Q5009611
Q21114157	Q1124468
Q21114834	Q21117559
Q21118514	Q7670368
Q21118870	Q96394697
Q21119881	Q60754069
Q21119913	Q110458210
Q21120113	Q15836659
Q21111653	Q85766584
Q21115863	Q5324055
Q21116534	Q21145236
Q74581	Q21118202
Q205986	Q3359734
Q205986	Q6947295
Q309513	Q21113417
Q408249	Q85302357
Q409999	Q21107447
Q410105	Q21117499
Q410130	Q16125835
Q410142	Q21121372
Q410974	Q66599000
Q411994	Q21108352
Q411994	Q21137042
Q414232	Q5736932
Q414232	Q21100582
Q415271	Q21104731
Q415271	Q107518688
Q416510	Q21118413
Q417057	Q21110166
Q418097	Q18375926
Q419036	Q21118902
Q419036	Q85971028
Q419774	Q21123782
Q420604	Q21126814
Q422360	Q10342308
Q424042	Q6163158
Q424042	Q114491490
Q424401	Q21431296
Q424401	Q85978228
Q425812	Q21109295
Q517790	Q21428382
Q517897	Q21431340
Q647813	Q21116496
Q812784	Q78438995
Q905442	Q14864883
Q905442	Q21117802
Q905442	Q21431321
Q1024612	Q21113128
Q1058190	Q15315285
Q1225690	Q21431331
Q1407929	Q21115107
Q2356259	Q21107048
Q2480972	Q21112272
Q2830638	Q21097382
Q3450524	Q11312966
Q3450524	Q22678316
Q3555498	Q21119746
Q3609382	Q21115565
Q3648604	Q5736935
Q3648604	Q21107767
Q3648608	Q21122862
Q4035577	Q21114012
Q4035583	Q15315590
Q4044985	Q21120933
Q4046249	Q21112666
Q4049840	Q21150445
Q4201951	Q21107764
Q4201959	Q21107778
Q4215155	Q21108532
Q4649392	Q6469042
Q4649848	Q21426038
Q21124733	Q1381564
Q21125004	Q58670769
Q21126482	Q21141368
Q4649849	Q21431639
Q4650811	Q21106362
Q4650909	Q21110390
Q4651006	Q21105344
Q4651007	Q21105399
Q4652703	Q21111358
Q4734972	Q21115079
Q4812911	Q21105334
Q4890900	Q21119864
Q4897285	Q21116660
Q5005897	Q21431294
Q5005943	Q21116136
Q5009615	Q21113937
Q5014958	Q21110742
Q5049057	Q21139811
Q5052488	Q5052489
Q5052488	Q56409007
Q5145890	Q21102490
Q5145904	Q21138736
Q5153546	Q21116065
Q5201223	Q21114489
Q5201343	Q1959694
Q5201343	Q21110741
Q5383215	Q21112322
Q5513620	Q21101333
Q5521730	Q21114855
Q5550956	Q21124086
Q5628892	Q21113224
Q5629497	Q21120578
Q5630195	Q21120617
Q5635781	Q21115547
Q5657582	Q21130441
Q5731649	Q21106295
Q6046452	Q6046429
Q6393589	Q21113479
Q6459216	Q21121569
Q6481869	Q21102216
Q6554368	Q21110085
Q7118999	Q21123254
Q7119000	Q21119712
